Timestamp,How many steps did you take during your walk today?,What was the purpose of your walk?,How is the weather like today?,How do you feel today?
27/03/2026 15:37:24,4000,Commute,Cloudy,Neutral
27/03/2026 15:45:14,4681,Commute,Rainy,Neutral
27/03/2026 15:45:53,4197,Walk/ Exercise,Sunny,Good
27/03/2026 15:46:05,7706,Entertainment,Sunny,Very good
27/03/2026 15:46:32,5245,Errands,Sunny,Good
27/03/2026 15:46:47,2417,Walk/ Exercise,Cloudy,Good
27/03/2026 15:47:08,8217,Commute,Rainy,Neutral
27/03/2026 15:47:31,110,stayed home,Windy,Very bad
27/03/2026 15:47:59,10001,Walk/ Exercise,Sunny,Very good
27/03/2026 15:48:15,3499,Commute,Cloudy,Neutral
27/03/2026 15:48:29,3000,Errands,Sunny,Very good
27/03/2026 15:48:46,9200,Commute,Windy,Very bad
27/03/2026 15:49:03,1032,Entertainment,Rainy,Very bad
27/03/2026 15:49:42,52,home,Rainy,Very good
27/03/2026 15:50:16,12003,Entertainment,Sunny,Very good
27/03/2026 15:50:33,15001,Walk/ Exercise,Sunny,Good
27/03/2026 15:50:46,4023,Commute,Cloudy,Neutral
27/03/2026 15:51:07,8757,Entertainment,Cloudy,Bad
27/03/2026 15:51:18,2330,Errands,Rainy,Very bad
27/03/2026 15:51:32,7862,Entertainment,Cloudy,Neutral
